us_man@LAPTOP-9S3V54PQ:/mnt/c/Users/Usman/Downloads$ cat regional-global-daily-latest.csv
,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
147,Dior,"Pop Smoke",798132,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
148,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",796210,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
149,"Girls Like You (feat. Cardi B)","Maroon 5",796031,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
150,"Jocelyn Flores",XXXTENTACION,788837,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
151,Quizas,"Rich Music LTD",788336,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
152,"I Like Me Better",Lauv,787915,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
153,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,784914,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
154,"thank u, next","Ariana Grande",780986,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
155,"Piece Of Your Heart",MEDUZA,779156,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
156,goosebumps,"Travis Scott",774440,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
157,"Sweet but Psycho","Ava Max",772828,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
158,Starboy,"The Weeknd",772300,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
159,"You Need To Calm Down","Taylor Swift",762928,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
160,"Inner Child",BTS,762327,https://open.spotify.com/track/4BKOjYosPhw334moS3wlbO
161,"All of Me","John Legend",759135,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
162,"Futsal Shuffle 2020","Lil Uzi Vert",755821,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
163,"bury a friend","Billie Eilish",754396,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
164,"Trampoline (with ZAYN)",SHAED,753258,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
165,"Higher Love",Kygo,746753,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
166,"Better Now","Post Malone",744922,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
167,I.F.L.Y.,Bazzi,740749,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
168,"The Other Side (from Trolls World Tour)",SZA,739878,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
169,"Can We Kiss Forever?",Kina,736186,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
170,"Hate Me (with Juice WRLD)","Ellie Goulding",732868,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
171,"If I Can't Have You","Shawn Mendes",725917,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
172,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,725647,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
173,Moon,BTS,725129,https://open.spotify.com/track/1xfXXujIlLZAx5wpu46Nyk
174,"Perreo en La Luna","Rich Music LTD",724985,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
175,Youngblood,"5 Seconds of Summer",724885,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
176,"Truth Hurts",Lizzo,722533,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
177,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",721086,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
178,Takeaway,"The Chainsmokers",719390,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
179,"Be Alright","Dean Lewis",715452,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
180,Mejor,Dalex,711206,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
181,"No Guidance (feat. Drake)","Chris Brown",707522,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
182,"all the good girls go to hell","Billie Eilish",705162,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
183,"The Less I Know The Better","Tame Impala",699947,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
184,"High Hopes","Panic! At The Disco",699793,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
185,Moonlight,XXXTENTACION,697337,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
186,"3 Nights","Dominic Fike",693215,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
187,"Si Te Vas",Sech,692143,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
188,Infeliz,Arcangel,688816,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
189,"i love you","Billie Eilish",686491,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
190,"Call Out My Name","The Weeknd",685081,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
191,"SLOW DANCING IN THE DARK",Joji,684523,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
192,Indeciso,Reik,682108,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
193,"Let Me Down Slowly","Alec Benjamin",681617,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
194,Trust,"Brent Faiyaz",680561,https://open.spotify.com/track/0oufSLnKQDoBFX5mgkDCgR
195,"Going Bad (feat. Drake)","Meek Mill",680498,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
196,"MIDDLE CHILD","J. Cole",680025,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
197,Tutu,Camilo,679368,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
198,"Too Good At Goodbyes","Sam Smith",679130,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
199,Photograph,"Ed Sheeran",678566,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
200,"Something Just Like This","The Chainsmokers",677875,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
us_man@LAPTOP-9S3V54PQ:/mnt/c/Users/Usman/Downloads$ sort -k 3 regional-global-daily-latest
sort: cannot read: regional-global-daily-latest: No such file or directory
us_man@LAPTOP-9S3V54PQ:/mnt/c/Users/Usman/Downloads$ sort -k 3 regional-global-daily-latest.csv
100,"Modern Loneliness",Lauv,933239,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
101,Believer,"Imagine Dragons",930881,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"Ayy Macarena",Tyga,930323,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
103,UGH!,BTS,930226,https://open.spotify.com/track/1aKuG1GG76xPLUkjBbQo3W
107,Sucker,"Jonas Brothers",917917,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
109,Girl,"Myke Towers",917223,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
11,Yummy,"Justin Bieber",3042586,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
110,"Without Me",Halsey,914137,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
111,Bruises,"Lewis Capaldi",908933,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
113,Blanco,"J Balvin",896207,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
114,Wow.,"Post Malone",892418,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
118,Falling,"Harry Styles",882629,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
123,Definitivamente,"Daddy Yankee",864895,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
124,Matrix,"Apache 207",861518,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
125,Ransom,"Lil Tecca",861265,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
13,Circles,"Post Malone",2997153,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
130,Robbery,"Juice WRLD",845197,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
133,Aventura,Lunay,839738,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
136,VIBEZ,DaBaby,823379,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
137,Friends,BTS,817643,https://open.spotify.com/track/7w05lsU2VLSeiT8Nukrv5M
138,Maniac,"Conan Gray",816240,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
143,July,"Noah Cyrus",806993,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
144,SAD!,XXXTENTACION,803803,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
